GEOID20,district
12107000033,18
12127000124,19
12051000024,20
12069000069,21
120170102.2,22
12111000067,23
12073002380,24
12099000050,25
1201100B005,26
12009000402,0
12033000210,1
1201950400a,2
12101000070,3
12057000953,4
12009000318,5
12065000013,6
12069000030,7
1201971000a,8
12123000001,9
12047000003,10
12031000295,11
12071000113,12
12103000361,13
12099000070,14
12127000173,15
12033000211,16
12071000075,17
12107000002,18
12127000150,19
12071000026,20
12127000045,21
12083000110,22
12055000014,23
12077000001,24
12099000022,25
1201100Q020,26
12009000419,0
12033000184,1
12019041003,2
12101000132,3
12057000763,4
12061000019,5
12073004408,6
12069000127,7
12019060100,8
12029000003,9
12007000007,10
12031000047,11
12015000090,12
12101000058,13
12099000091,14
12127000171,15
12033000205,16
12071000054,17
12069000096,18
12035000240,19
12071000077,20
12127000086,21
120170103.2,22
